,val_loss,val_accuracy,loss,accuracy
0,0.40149097127463373,0.8365744352340698,0.6127369621883356,0.7357678413391113
1,0.32931977207878815,0.8699345588684082,0.3484374423141391,0.8639635443687439
2,0.22280115740893972,0.9170474410057068,0.23684247693016328,0.9154278039932251
3,0.28976814825955494,0.8995063900947571,0.18107848155089185,0.9367631077766418
4,0.1436359220839658,0.9530478715896606,0.15058396799064186,0.9492762088775635
5,0.15023732706416887,0.9450350403785706,0.1282145335536385,0.95730060338974
6,0.11967196447090309,0.9589484333992004,0.11036382334440673,0.9630290865898132
7,0.1129973358079413,0.9607622623443604,0.09874274466168757,0.9673283100128174
8,0.09801424265988945,0.966708779335022,0.09087036394755803,0.9696184992790222
9,0.07055069880348139,0.9781196117401123,0.08012195084849406,0.9740554690361023
10,0.07945054909957426,0.9720813035964966,0.07178357079432512,0.9770000576972961
11,0.0757672034264733,0.9757318496704102,0.06647368538475434,0.9791181087493896
12,0.05431591411683661,0.9834691882133484,0.060189387504322345,0.9807252883911133
13,0.10249147807918177,0.9673057198524475,0.055958686051936546,0.9823956489562988
14,0.05276280221702612,0.9839054346084595,0.0527968071510092,0.9832279086112976
15,0.05237437827916113,0.9844334721565247,0.048221242908127036,0.9850417375564575
16,0.18014454322271267,0.9454482793807983,0.04340884609331564,0.986505389213562
17,0.040184973823570544,0.9877855777740479,0.0507392774126466,0.9841405749320984
18,0.050825937570078805,0.9844793677330017,0.03924320760708479,0.9877050518989563
19,0.05193702520999552,0.9843186736106873,0.03697263125286717,0.9885086417198181
20,0.04368322785905685,0.9870508313179016,0.034177043923321916,0.9895647764205933
21,0.03950994006751422,0.9882447719573975,0.032128177834419534,0.9900928735733032
22,0.03906501343553122,0.9886350631713867,0.02958783665992635,0.9910973310470581
23,0.031303092965971877,0.9910917282104492,0.0292822892490417,0.9911088347434998
24,0.03184254943290427,0.9912524223327637,0.02828689589445377,0.9909481406211853
25,0.05169247892359042,0.9835610389709473,0.025554505177975508,0.9924634695053101
26,0.030164959894852666,0.9907243847846985,0.024866394405941065,0.9926069378852844
27,0.02625156144244076,0.992652952671051,0.02258561349981787,0.9933761358261108
28,0.04176426660913118,0.9859717488288879,0.02327921952190874,0.9928882122039795
29,0.023208120556454367,0.9935942888259888,0.020956342678951894,0.9938353300094604
